,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,all_star
8666,Keith Appling,ORL,24,185.42,83.91452,Michigan State,USA,Undrafted,Undrafted,Undrafted,5,1.2,0.2,0.2,20.3,0,0.042,0.201,0.338,0.059,2015-16,
8667,Kawhi Leonard,SAS,25,200.66,104.32616,San Diego State,USA,2011,1,15,72,21.2,6.8,2.6,14.3,0.046,0.182,0.258,0.616,0.128,2015-16,T
8668,Karl-Anthony Towns,MIN,20,213.36,110.676448,Kentucky,USA,2015,1,1,82,18.3,10.5,2,-2.1,0.102,0.271,0.247,0.59,0.108,2015-16,
8669,Kevin Love,CLE,27,208.28,113.851592,UCLA,USA,2008,1,5,77,16,9.9,2.4,8.4,0.071,0.287,0.235,0.553,0.119,2015-16,
8670,KJ McDaniels,HOU,23,198.12,92.98636,Clemson,USA,2014,2,32,37,2.4,1.1,0.3,18.9,0.078,0.104,0.188,0.522,0.059,2015-16,
8671,Justise Winslow,MIA,20,200.66,102.0582,Duke,USA,2015,1,10,78,6.4,5.2,1.5,3.9,0.042,0.158,0.124,0.489,0.077,2015-16,
8672,Justin Holiday,CHI,27,198.12,83.91452,Washington,USA,Undrafted,Undrafted,Undrafted,53,4.5,1.7,1.1,-3.4,0.017,0.111,0.164,0.489,0.111,2015-16,
8673,Justin Harper,BKN,26,208.28,102.0582,Richmond,USA,2011,2,32,5,2.6,0.2,0,-51.9,0,0.038,0.177,0.597,0,2015-16,
8674,Justin Anderson,DAL,22,198.12,103.418976,Virginia,USA,2015,1,21,55,3.8,2.4,0.5,2.2,0.029,0.188,0.155,0.522,0.071,2015-16,
8675,Julius Randle,LAL,21,205.74,113.398,Kentucky,USA,2014,1,7,81,11.3,10.2,1.8,-15.4,0.077,0.327,0.212,0.482,0.111,2015-16,
8676,Jrue Holiday,NOP,26,193.04,92.98636,UCLA,USA,2009,1,17,65,16.8,3,6,-0.3,0.016,0.106,0.287,0.529,0.365,2015-16,
8677,Josh Smith,HOU,30,205.74,102.0582,None,USA,2004,1,17,55,6,3.5,1.6,-4.2,0.059,0.177,0.226,0.439,0.172,2015-16,
8678,Josh Richardson,MIA,22,198.12,90.7184,Tennessee,USA,2015,2,40,52,6.6,2.1,1.4,3.1,0.023,0.085,0.137,0.569,0.098,2015-16,
8679,Josh McRoberts,MIA,29,208.28,108.86208,Duke,USA,2007,2,37,42,3.6,2.5,1.9,2,0.044,0.157,0.154,0.453,0.204,2015-16,
8680,Josh Huestis,OKC,24,200.66,104.32616,Stanford,USA,2014,1,29,5,2.8,2,0,-3.4,0.045,0.157,0.132,0.509,0,2015-16,
8681,O.J. Mayo,MIL,28,195.58,95.25432,Southern California,USA,2008,1,3,41,7.8,2.6,2.9,-1.2,0.013,0.094,0.169,0.474,0.156,2015-16,
8682,Jose Calderon,NYK,34,190.5,90.7184,None,Spain,Undrafted,Undrafted,Undrafted,72,7.6,3.2,4.1,-2,0.012,0.109,0.126,0.571,0.213,2015-16,
8683,Jusuf Nurkic,DEN,21,213.36,127.00576,None,Bosnia & Herzegovina,2014,1,16,32,8.2,5.5,1.3,-1.3,0.128,0.227,0.272,0.46,0.123,2015-16,
8684,Lucas Nogueira,TOR,23,213.36,99.79024,None,Brazil,2013,1,16,29,2.2,1.6,0.2,8.1,0.087,0.136,0.125,0.642,0.044,2015-16,
8685,Kevin Martin,SAS,33,200.66,90.264808,Western Carolina,USA,2004,1,26,55,9.3,2,1.1,-5.4,0.014,0.102,0.222,0.52,0.089,2015-16,
